Name,Slug,Testimonial
PROA,proa,"Scaled to 379 branches while retaining full operational control."
Médica Sur,medica-sur,"Reduced dictation by 40% with report-specialized AI."
Dasa,dasa,"Unified 100+ teleradiology clients in a matter of weeks."
Grupo Aries,grupo-aries,""
Pulso Salud,pulso-salud,"Automatically detects findings in 17,000 monthly studies with Eden AI."
Dr. Simi,dr-simi,"Built a national diagnostic network of 177 branches in one platform."
Star Médica,star-medica,"Unified 17 hospitals into one network and grew productivity by 11%."
Hospital Metropolitano,hospital-metropolitano,"Integrated operations on a cloud-native platform running 12,000 studies a month."
